Bait,Reclass,fontface
AGULHA,Belonidae,plain
AGULHA-ESPADA,Belonidae,plain
AGULHA-QUIO,Belonidae,plain
ALAMBA,Other,plain
ALICHOTE,Sphyraena sphyraena,italic
AZEITE,Seriola rivoliana,italic
BARBUDO,Galeoides decadactylus,italic
BICA,Lethrinus atlanticus,italic
BONGA,Boops boops,italic
BONITO,Caranx crysos,italic
BRINDADO,Plastic bait,plain
CALA,Other,plain
CAMARAO,River shrimp,plain
CANGA,Pontinus kuhlii,italic
CAPIM,Other,plain
CAQUI,Holocentridae,plain
CARAMUJO,Crab / Hermit crab,plain
CARANGUEJO,Crab / Hermit crab,plain
CARAPAU,Selar crumenophthalmus,italic
CAVALA,Decapterus sp.,italic
CEBOLA,Plastic bait,plain
CHARROCO,Freshwater fish,plain
CHOCO,Sepia sp.,italic
COELHO,Lagocephalus laevigatus,italic
CUCUMBA,Gobius sp.,italic
DADA,Other,plain
DOUTOR,Other,plain
FOLHA,Other,plain
FRUTA-PAO,Breadfruit,plain
FULU-FULU,A. thazard & E. alleteratus,italic
GAROPA-PRETA,Epinephelus sp.,italic
ISCO,Other,plain
ISCO-VIVO,Other,plain
LAGARTICA,Trachinus radiatus,italic
LIMU,Other,plain
LINGUADO,Bothidae,plain
LULA,Squid,plain
MAE-DE-CAQUI,Holocentridae,plain
MAXIPOMBO,Hemirhamphus balao,italic
MAZEBE,Spicara sp.,italic
MOSTRA,Other,plain
MULATO,Paranthias furcifer,italic
NA,Other,plain
OURICO,Sea urchin,plain
OVAS,Exocoetidae,plain
OVAS-DE-PEIXE-VOADOR,Exocoetidae,plain
PALHA,Plastic bait,plain
PANHA,Exocoetidae,plain
PEIXE-FUMO,Acanthocybium solandri,italic
PEIXE-NOVO,Apsilus fuscus,italic
PEIXE-VOADOR,Exocoetidae,plain
PEIXINHO,Peixinho,plain
PLASTICO,Plastic bait,plain
POLVO,Octopus sp.,italic
RAINHA,Other,plain
RAPALA,Other,plain
RONCADOR,Pomadasys incisus,italic
SABONETE,Mullidae,plain
SARDINHA,Sardinella sp.,italic
SARDINHA-CACA,Sardinella sp.,italic
TAINHA,Other,plain
TRIPA-PEIXE,Other,plain
VERMELHO,Other,plain
VERMELHO-SANGUE,Erythrocles monodi,italic
VERMELHO-SOL,Heteropriacanthus cruentatus,italic
