"species","species_comp","type","species_comp_source","local_name_ST","local_name_PC"
"Ablennes hians","Ablennes hians","Teleost","FGDs, KIIs, Field observations","Agulha espada","Agulha espada"
"Abudefduf saxatilis","Abudefduf saxatilis","Teleost","FGDs, KIIs, Field observations","Tchintchin, Thinthe","Tchintchin"
"Acanthocybium solandri","Acanthocybium solandri","Teleost","FGDs, KIIs, Field observations","Peixe fumo","Peixe fumo"
"Acanthurus monroviae","Acanthurus monroviae","Teleost","FGDs, KIIs, Field observations","Asno laceta","Asno lamina"
"Albula vulpes","Albula vulpes","Teleost","FGDs, KIIs, Field observations","Columpiam balabo","Columpiam balabo"
"Alectis alexandrina","Alectis alexandrina","Teleost","FGDs, KIIs, Field observations","Pampulé","Peixe prata"
"Aluterus scriptus","Aluterus scriptus","Teleost","FGDs, KIIs, Field observations","Asno lembe-lembe","Asno preguiçosa"
"Anthias anthias","Anthias anthias","Teleost","FGDs, KIIs, Field observations","Capitão","Capitão"
"Apsilus fuscus","Apsilus fuscus","Teleost","FGDs, KIIs, Field observations","Peixe novo","Peixe novo"
"Auxis thazard","Auxis thazard","Teleost","FGDs, KIIs, Field observations","Fulu-fulu rebola","Fulu-fulu rebola"
"Auxis thazard + Euthynnus alletteratus","Auxis thazard, Euthynnus alletteratus","Teleost","FGDs, KIIs, Field observations","Fulu fulu","Fulu fulu"
"Balistes capriscus","Balistes capriscus","Teleost","FGDs, KIIs, Field observations","Asno fundo","Asno fundo"
"Balistes punctatus","Balistes punctatus","Teleost","FGDs, KIIs, Field observations","Asno terra","Asno galinha"
"Beryx decadactylus","Beryx decadactylus","Teleost","FGDs, KIIs, Field observations","Ue-Nguene nguene, Olho lente","Olho brilhante, Olho lente"
"Bodianus speciosus","Bodianus speciosus","Teleost","FGDs, KIIs, Field observations","Bulhão bica","Bulhão"
"Boops boops","Boops boops","Teleost","FGDs, KIIs, Field observations","Bonga","Bonga"
"Bothidae","Bothus guibei, Bothus lunatus, Syacium micrurum","Teleost","FGDs, KIIs, Field observations","Linguado","Lingualé; Linguado"
"Branchiostegus semifasciatus","Branchiostegus semifasciatus","Teleost","FGDs, KIIs, Field observations","Peixe cabra","Peixe cabra"
"Canthidermis sufflamen","Canthidermis sufflamen","Teleost","FGDs, KIIs, Field observations","Asno mambo","Asno oceanico"
"Caranx bartholomaei","Caranx bartholomaei","Teleost","FGDs, KIIs, Field observations","Selé; cheréu","Selé; cheréu"
"Caranx crysos","Caranx crysos","Teleost","FGDs, KIIs, Field observations","Bonito","Bonito"
"Caranx hippos","Caranx hippos","Teleost","FGDs, KIIs, Field observations","Cocovado","Cocovado"
"Caranx latus","Caranx latus","Teleost","FGDs, KIIs, Field observations","Olho grosso","Olho grosso"
"Caranx lugubris","Caranx lugubris","Teleost","FGDs, KIIs, Field observations","Cocovado de fundo","Cocovado de fundo"
"Selachimorpha","Carcharhinus falciformis, Carcharhinus limbatus","Selachimorpha","FGDs, KIIs, Field observations","Tubarão","Tubarão"
"Cephalopholis nigri","Cephalopholis nigri","Teleost","FGDs, KIIs, Field observations","Colobo","Garopa preta"
"Cephalopholis taeniops","Cephalopholis taeniops","Teleost","FGDs, KIIs, Field observations","Bobó Quemá","Bobo quema"
"Channomuraena vittata","Channomuraena vittata","Teleost","FGDs, KIIs, Field observations","Moreia tropa","Moreia bronze"
"Chilomycterus reticulatus","Chilomycterus reticulatus","Teleost","FGDs, KIIs, Field observations","Bubu","Bubu"
"Cirrhitus atlanticus","Cirrhitus atlanticus","Teleost","FGDs, KIIs, Field observations","Caze-Budu","Capataz, Capataz de pedra, Rabo tissora"
"Coris atlantica","Coris atlantica","Teleost","FGDs, KIIs, Field observations","Rainha","Rainha"
"Coryphaena equiselis","Coryphaena equiselis","Teleost","FGDs, KIIs, Field observations","Colombeta cavede","Colombeta"
"Coryphaena hippurus","Coryphaena hippurus","Teleost","FGDs, KIIs, Field observations","Colombeta","Colombeta"
