"","ntrips_id","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","circular_net","purse_seine","surface_gillnet_seine","demersal_gillnet","spear_fishing","hook_line","hook_line_shore"
"2",NA,"PC","AB","abade","judiciley","2019-08-06","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3",NA,"PC","AB","abade","judiciley","2019-08-09","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"4",NA,"PC","AB","abade","judiciley","2019-08-13","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"5",NA,"PC","AB","abade","judiciley","2019-08-16","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"6",NA,"PC","AB","abade","judiciley","2019-08-20","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"7",NA,"PC","AB","abade","judiciley","2019-08-23","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"8",NA,"PC","AB","abade","judiciley","2019-08-27","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"9",NA,"PC","AB","abade","judiciley","2019-08-30","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"10",NA,"PC","AB","abade","judiciley","2019-09-03","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"11",NA,"PC","AB","abade","judiciley","2019-09-06","nao-pesca","nao-combustvel",NA,NA,NA,NA,0,NA,NA,NA,NA
"12",NA,"PC","AB","abade","judiciley","2019-09-10","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"13",NA,"PC","AB","abade","judiciley","2019-09-13","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"14",NA,"PC","AB","abade","judiciley","2019-09-17","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"15",NA,"PC","AB","abade","judiciley","2019-09-20","sim",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"16",NA,"PC","AB","abade","judiciley","2019-10-04","sim",NA,NA,4,0,2,0,NA,1,1,NA
"17",NA,"PC","AB","abade","judiciley","2019-10-08","sim",NA,NA,12,0,1,0,0,1,1,0
"18",NA,"PC","AB","abade","judiciley","2019-10-11","sim",NA,NA,1,0,1,0,0,0,4,3
"19",NA,"PC","AB","abade","judiciley","2019-10-15","sim",NA,NA,2,0,1,0,0,0,1,0
"20",NA,"PC","AB","abade","judiciley","2019-10-18","sim",NA,NA,3,0,2,0,0,1,3,0
"21",NA,"PC","AB","abade","judiciley","2019-10-22","sim",NA,NA,0,0,0,0,0,0,6,0
"22",NA,"PC","AB","abade","judiciley","2019-10-25","sim",NA,NA,1,0,1,0,0,0,5,0
"23",NA,"PC","AB","abade","judiciley","2019-10-29","sim",NA,NA,7,0,2,0,0,4,4,0
"24",NA,"PC","AB","abade","judiciley","2019-11-01","sim",NA,NA,4,0,0,0,0,0,3,0
"25",NA,"PC","AB","abade","judiciley","2019-11-05","sim",NA,NA,0,0,1,0,0,1,3,0
"26",NA,"PC","AB","abade","judiciley","2019-11-08","sim",NA,NA,0,0,0,0,0,1,4,0
"27",NA,"PC","AB","abade","judiciley","2019-11-12","sim",NA,NA,6,0,0,0,0,0,1,0
"28",NA,"PC","AB","abade","judiciley","2019-11-15","sim",NA,NA,5,0,0,0,0,1,5,0
"29",NA,"PC","AB","abade","judiciley","2019-11-19","sim",NA,NA,4,0,1,0,0,1,3,0
"30",NA,"PC","AB","abade","judiciley","2019-11-22","sim",NA,NA,0,0,1,0,0,0,3,0
"31",NA,"PC","AB","abade","judiciley","2019-11-26","sim",NA,NA,6,0,1,0,0,2,1,0
"32",NA,"PC","AB","abade","judiciley","2019-11-29","sim",NA,NA,3,0,0,0,0,0,6,0
