"","species","species_comp","type","species_comp_source","local_name_ST","local_name_PC","Family","FoodTroph","DietTroph","EstTroph"
"1","Ablennes hians","Ablennes hians","Teleost","FGDs, KIIs, Field observations","Agulha espada","Agulha espada","Belonidae",4.5,NA,4.5
"2","Abudefduf saxatilis","Abudefduf saxatilis","Teleost","FGDs, KIIs, Field observations","Tchintchin, Thinthe","Tchintchin","Pomacentridae",2.76,3.82,3.8199999332428
"3","Acanthocybium solandri","Acanthocybium solandri","Teleost","FGDs, KIIs, Field observations","Peixe fumo","Peixe fumo","Scombridae",4.42000007629395,4.26,4.26000022888184
"4","Acanthurus monroviae","Acanthurus monroviae","Teleost","FGDs, KIIs, Field observations","Asno laceta","Asno lamina","Acanthuridae",2.5,NA,2.5
"5","Albula vulpes","Albula vulpes","Teleost","FGDs, KIIs, Field observations","Columpiam balabo","Columpiam balabo","Albulidae",3.66,3.73,3.73000001907349
"6","Alectis alexandrina","Alectis alexandrina","Teleost","FGDs, KIIs, Field observations","Pampulé","Peixe prata","Carangidae",3.6,NA,3.59999990463257
"7","Aluterus scriptus","Aluterus scriptus","Teleost","FGDs, KIIs, Field observations","Asno lembe-lembe","Asno preguiçosa","Monacanthidae",3.02,2.81,2.80999994277954
"8","Anthias anthias","Anthias anthias","Teleost","FGDs, KIIs, Field observations","Capitão","Capitão","Anthiadidae",3.75,NA,3.75
"9","Apsilus fuscus","Apsilus fuscus","Teleost","FGDs, KIIs, Field observations","Peixe novo","Peixe novo","Lutjanidae",3.99000000953674,NA,3.99000000953674
"10","Auxis thazard","Auxis thazard","Teleost","FGDs, KIIs, Field observations","Fulu-fulu rebola","Fulu-fulu rebola","Scombridae",4.3600001335144,4.37,4.36999988555908
"11","Auxis thazard + Euthynnus alletteratus","Auxis thazard, Euthynnus alletteratus","Teleost","FGDs, KIIs, Field observations","Fulu fulu","Fulu fulu","Scombridae",NA,NA,4.32500004768372
"12","Balistes capriscus","Balistes capriscus","Teleost","FGDs, KIIs, Field observations","Asno fundo","Asno fundo","Balistidae",3.45,4.06,4.05999994277954
"13","Balistes punctatus","Balistes punctatus","Teleost","FGDs, KIIs, Field observations","Asno terra","Asno galinha","Balistidae",3.36,NA,3.35999989509583
"14","Beryx decadactylus","Beryx decadactylus","Teleost","FGDs, KIIs, Field observations","Ue-Nguene nguene, Olho lente","Olho brilhante, Olho lente","Berycidae",4.13,NA,4.13000011444092
"15","Bodianus speciosus","Bodianus speciosus","Teleost","FGDs, KIIs, Field observations","Bulhão bica","Bulhão","Labridae",3.6,NA,3.59999990463257
"16","Boops boops","Boops boops","Teleost","FGDs, KIIs, Field observations","Bonga","Bonga","Sparidae",3.11,2.79,2.78999996185303
"17","Bothidae","Bothus guibei, Bothus lunatus, Syacium micrurum","Teleost","FGDs, KIIs, Field observations","Linguado","Lingualé; Linguado","Bothidae",NA,NA,3.80666661262512
"18","Branchiostegus semifasciatus","Branchiostegus semifasciatus","Teleost","FGDs, KIIs, Field observations","Peixe cabra","Peixe cabra","Latilidae",NA,NA,3.63000011444092
"19","Canthidermis sufflamen","Canthidermis sufflamen","Teleost","FGDs, KIIs, Field observations","Asno mambo","Asno oceanico","Balistidae",3.48,3.45,3.45000004768372
"20","Caranx bartholomaei","Caranx bartholomaei","Teleost","FGDs, KIIs, Field observations","Selé; cheréu","Selé; cheréu","Carangidae",4.5,4.48,4.48000001907349
"21","Caranx crysos","Caranx crysos","Teleost","FGDs, KIIs, Field observations","Bonito","Bonito","Carangidae",3.63,4.13,4.13000011444092
"22","Caranx hippos","Caranx hippos","Teleost","FGDs, KIIs, Field observations","Cocovado","Cocovado","Carangidae",3.83,3.56,3.55999994277954
"23","Caranx latus","Caranx latus","Teleost","FGDs, KIIs, Field observations","Olho grosso","Olho grosso","Carangidae",3.88,4.16,4.15999984741211
"24","Caranx lugubris","Caranx lugubris","Teleost","FGDs, KIIs, Field observations","Cocovado de fundo","Cocovado de fundo","Carangidae",4,4.5,4.5
"25","Selachimorpha","Carcharhinus falciformis, Carcharhinus limbatus","Selachimorpha","FGDs, KIIs, Field observations","Tubarão","Tubarão",NA,NA,NA,4.35999989509583
"26","Cephalopholis nigri","Cephalopholis nigri","Teleost","FGDs, KIIs, Field observations","Colobo","Garopa preta","Epinephelidae",NA,NA,4.05999994277954
"27","Cephalopholis taeniops","Cephalopholis taeniops","Teleost","FGDs, KIIs, Field observations","Bobó Quemá","Bobo quema","Epinephelidae",NA,NA,4.38000011444092
"28","Channomuraena vittata","Channomuraena vittata","Teleost","FGDs, KIIs, Field observations","Moreia tropa","Moreia bronze","Muraenidae",4,NA,4
"29","Chilomycterus reticulatus","Chilomycterus reticulatus","Teleost","FGDs, KIIs, Field observations","Bubu","Bubu","Diodontidae",3.45,NA,3.45000004768372
"30","Cirrhitus atlanticus","Cirrhitus atlanticus","Teleost","FGDs, KIIs, Field observations","Caze-Budu","Capataz, Capataz de pedra, Rabo tissora","Cirrhitidae",NA,NA,3.63000011444092
"31","Coris atlantica","Coris atlantica","Teleost","FGDs, KIIs, Field observations","Rainha","Rainha","Labridae",NA,NA,3.48000001907349
"32","Coryphaena equiselis","Coryphaena equiselis","Teleost","FGDs, KIIs, Field observations","Colombeta cavede","Colombeta","Coryphaenidae",4.5,NA,4.5
"33","Coryphaena hippurus","Coryphaena hippurus","Teleost","FGDs, KIIs, Field observations","Colombeta","Colombeta","Coryphaenidae",4.5,4.37,4.21000003814697
"34","Dactylopterus volitans","Dactylopterus volitans","Teleost","FGDs, KIIs, Field observations","Concom","Concom","Dactylopteridae",3.68,3.65,3.65000009536743
"35","Hypanus rudis","Hypanus rudis","Myliobatiformes","FGDs, KIIs, Field observations","Raia","Raia","Dasyatidae",NA,NA,3.54999995231628
"36","Decapterus sp.","Decapterus macarellus, Decapterus punctatus","Teleost","FGDs, KIIs, Field observations","Cavala","Cavala","Carangidae",NA,NA,3.68500006198883
"37","Dentex congoensis","Dentex congoensis","Teleost","FGDs, KIIs, Field observations","Vermelho dente; Mamaminha","Besugo","Sparidae",3.71,NA,3.71000003814697
"38","Dentex macrophthalmus","Dentex macrophthalmus","Teleost","FGDs, KIIs, Field observations","Vermelho fundo","Vermelho fundo","Sparidae",3.45,NA,3.45000004768372
"39","Drepane africana","Drepane africana","Teleost","FGDs, KIIs, Field observations","Cozinheiro","Cozinheiro","Drepaneidae",3.1,NA,3.09999990463257
"40","Elagatis bipinnulata","Elagatis bipinnulata","Teleost","FGDs, KIIs, Field observations","Alada","Alada","Carangidae",3.59,4.27,4.26999998092651
"41","Enchelycore nigricans","Enchelycore nigricans","Teleost","FGDs, KIIs, Field observations","Moreia cão","Moreia cão","Muraenidae",NA,NA,4.53999996185303
"42","Ephippus goreensis","Ephippus goreensis","Teleost","FGDs, KIIs, Field observations","Cozinheiro de rio","Cozinheiro de rio","Ephippidae",3.45,NA,3.45000004768372
"43","Epinephelus adscensionis","Epinephelus adscensionis","Teleost","FGDs, KIIs, Field observations","Glopim","Glopim","Epinephelidae",3.75,3.53,3.52999997138977
"44","Epinephelus aeneus","Epinephelus aeneus","Teleost","FGDs, KIIs, Field observations","Bacalhau","Bacalhau","Epinephelidae",4.02,NA,4.01999998092651
"45","Epinephelus goreensis","Epinephelus goreensis","Teleost","FGDs, KIIs, Field observations","Badejo","Badejo","Epinephelidae",3.94,NA,3.94000005722046
"46","Epinephelus marginatus","Epinephelus marginatus","Teleost","FGDs, KIIs, Field observations","Mero","Mero","Epinephelidae",4.08,4.43,4.09999990463257
"47","Epinephelus morio","Epinephelus morio","Teleost","FGDs, KIIs, Field observations","Mero","Mero","Epinephelidae",3.63,3.5,3.5
"48","Erythrocles monodi","Erythrocles monodi","Teleost","FGDs, KIIs, Field observations","Vermelho sangue","Vermelho sangue","Emmelichthyidae",3.4,NA,3.40000009536743
"49","Euthynnus alletteratus","Euthynnus alletteratus","Teleost","FGDs, KIIs, Field observations","Fulu fulu batido","Fulu fulu batido","Scombridae",3.98,4.49,4.28000020980835
"50","Exocetidae","Exocoetus volitans, Cheilopogon melanurus","Teleost","FGDs, KIIs, Field observations","Peixe voador","Peixe voador","Exocoetidae",NA,NA,3.3199999332428
"51","Fistularia tabacaria","Fistularia tabacaria","Teleost","FGDs, KIIs, Field observations","Agulha buzina","Agulha buzina","Fistulariidae",4.5,3.69,3.69000005722046
"52","Galeoides decadactylus","Galeoides decadactylus","Teleost","FGDs, KIIs, Field observations","Barbudo","Barbudo","Polynemidae",3.57,NA,3.5699999332428
"53","Ginglymostoma cirratum","Ginglymostoma cirratum","Selachimorpha","FGDs, KIIs, Field observations","Tubarao areia","Tubarao areia","Ginglymostomatidae",4.3,4.15,4.15000009536743
"54","Grammonus longhursti","Grammonus longhursti","Teleost","FGDs, KIIs, Field observations","Blonze","Blonze","Bythitidae",NA,NA,3.44000005722046
"55","Gymnothorax vicinus","Gymnothorax vicinus","Teleost","FGDs, KIIs, Field observations","Moreia-De terra","Moreia fula","Muraenidae",4.2,4.26,4.26000022888184
"56","Hemiramphus balao","Hemiramphus balao","Teleost","FGDs, KIIs, Field observations","Maxipombo","Maxipombo","Hemiramphidae",3.71,3.85,3.84999990463257
"57","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus","Teleost","FGDs, KIIs, Field observations","Vermelho sol","Vermelho sol","Priacanthidae",3.7,3.61,3.60999989509583
"58","Holocentrus adscensionis","Holocentrus adscensionis","Teleost","FGDs, KIIs, Field observations","Caqui","Caqui","Holocentridae",3.4,3.11,3.10999989509583
"59","Istiophorus albicans","Istiophorus albicans","Teleost","FGDs, KIIs, Field observations","Peixe andala","Peixe andala","Istiophoridae",4.42000007629395,4.5,4.5
"60","Katsuwonus pelamis","Katsuwonus pelamis","Teleost","FGDs, KIIs, Field observations","Sintra","Sintra","Scombridae",4.03,4.43,4.42999982833862
"61","Kyphosus sp.","Kyphosus sectatrix, Kyphosus incisor","Teleost","FGDs, KIIs, Field observations","Sopa","Sopa","Kyphosidae",NA,NA,2
"62","Lagocephalus laevigatus","Lagocephalus laevigatus","Teleost","FGDs, KIIs, Field observations","Coelho","Coelho","Tetraodontidae",4.02,NA,4.01999998092651
"63","Lethrinus atlanticus","Lethrinus atlanticus","Teleost","FGDs, KIIs, Field observations","Bica","Bica","Lethrinidae",3.54,NA,3.53999996185303
"64","Lobotes surinamensis","Lobotes surinamensis","Teleost","FGDs, KIIs, Field observations","Tchintchin de fundo, Tchintchin pego","Tchintchin de fundo, Tchintchin pego","Lobotidae",4.16,4.04,4.03999996185303
"65","Crustacean","Lobster","Crustacean","FGDs, KIIs, Field observations","Lagosta","Lagosta",NA,NA,NA,NA
"66","Lutjanus sp.","Lutjanus agennes, Lutjanus dentatus, Lutjanus endecacanthus, Lutjanus goreensis","Teleost","FGDs, KIIs, Field observations","Corvina","Corvina","Lutjanidae",NA,NA,4.02250009775162
"67","Lutjanus agennes","Lutjanus agennes","Teleost","FGDs, KIIs, Field observations","Corvina preta","Corvina preta","Lutjanidae",4.01,NA,4.01000022888184
"68","Lutjanus dentatus","Lutjanus dentatus","Teleost","FGDs, KIIs, Field observations","Corvina de rio","Corvina de rio","Lutjanidae",4.01000022888184,NA,4.01000022888184
"69","Lutjanus endecacanthus","Lutjanus endecacanthus","Teleost","FGDs, KIIs, Field observations","Corvina de caça","Corvina caçadeira","Lutjanidae",NA,NA,4.09999990463257
"70","Lutjanus fulgens","Lutjanus fulgens","Teleost","FGDs, KIIs, Field observations","Vermelho terra","Vermelho terra","Lutjanidae",4,NA,4
"71","Lutjanus goreensis","Lutjanus goreensis","Teleost","FGDs, KIIs, Field observations","Corvina vermelha","Corvina vermelha","Lutjanidae",3.97,NA,3.97000002861023
"72","Makaira nigricans","Makaira nigricans","Teleost","FGDs, KIIs, Field observations","Estromba","Estromba","Istiophoridae",4.3899998664856,4.49,4.48999977111816
"73","Melichthys niger","Melichthys niger","Teleost","FGDs, KIIs, Field observations","Asno preto","Asno preto","Balistidae",2.73,2.39,2.39000010490417
