"","PC","ST"
"n.sampling.days","564","463"
"start","2019-08-06","2019-09-24"
"end","2023-11-07","2023-11-01"
"num.ext.workers","18","11"
"ntrips","9672","7710"
"participated","7145","5327"
"resp.rate","0.7387304","0.6909209"
"excluded","1","81"
"retained","7144","5246"
"num.fishing.comm","15","10"
"num.fishers","375","150"
"foot","496","1135"
"vessel","6648","4111"
"hook_line","5067","3286"
"hook_line.motor","3632","861"
"hook_line.rowing","1434","2425"
"hook_line_ngears","1.31 (0.55)","1.1 (0.32)"
"hook_line_jigg","3340","2070"
"hook_line_demline","1198","493"
"hook_line_demtrol","1416","27"
"hook_line_surtrol","514","946"
"sur_gillnet","964","200"
"sur_gillnet.motor","946","197"
"sur_gillnet.rowing","18","3"
"sur_gill_ngear","1.1 (0.36)","1.05 (0.23)"
"sur_gill_oth_gear","78","11"
"seine_nets","237","99"
"seine_netsmotor","231","96"
"seine_netsrowing","6","2"
"seine_net_ngear","1.01 (0.11)","1 (0)"
"seine_net_oth_gear","3","0"
"dem_gillnet","75","30"
"dem_gillnet.motor","8","24"
"dem_gillnet.rowing","65","6"
"dem_gill_ngear","1 (0)","1 (0)"
"dem_gill_oth_gear","0","0"
"beach_seine","3","0"
"spear_fishing","537","1248"
"spear_fishing.motor","139","271"
"spear_fishing.rowing","168","59"
"spear_fishing.novessel","230","917"
"spear_fishing_ngea","1.02 (0.17)","1.01 (0.07)"
"spear_fishing_othg","10","6"
"circ_net","0","166"
"circ_net.motor","0","80"
"circ_net.rowing","0","86"
"circ_net_ngea","NaN (NA)","1.6 (0.57)"
"circ_net_othg","0","93"
"hook_line_shore","261","217"
