"","date","ordinaldate:island","date:island","net_depth","net_length","ordinaldate","island","mesh_size","time_fishing","gear","diversityindicator","n_fishers","ngears","propulsion","time_sea","nsets","gear_subtype","hook_size","n_hooks","n_lines","bait_type:island","bait_type"
"surface_gillnet...1",0.859511096324022,0.681134294320776,0.267971481196049,0.267971481196049,0.267971481196049,0.206642457934203,0,0,0,"surface_gillnet","weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hook_line...2",0.792537711129864,1,0.415066889807607,NA,NA,0.207604600937471,0.207604600937471,NA,NA,"hook_line","weight",1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"seine_net...3",0.196924478959514,0.818380932855312,0.638560977845811,0.367118534170678,0.476066652706504,0.154878925908674,0.29651245491574,0.357353934744897,1,"seine_net","weight",NA,NA,NA,NA,0.0153054118148262,NA,NA,NA,NA,NA,NA
"demersal_gillnet...4",1,1,1,0,1,0,1,1,0,"demersal_gillnet","weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spear_fishing...5",0.768761302412828,0.196504561739618,0.330139036517262,NA,NA,1,1,NA,1,"spear_fishing","weight",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"demersal_line...6",0.642712813806674,0.465118589532035,1,NA,NA,0.733835219205192,1,NA,1,"demersal_line","weight",NA,NA,1,NA,NA,1,1,1,NA,NA,NA
"handline...7",0.786455497926877,1,0.97697415980565,NA,NA,0.763429657732528,0.508953105155944,NA,1,"handline","weight",NA,NA,1,NA,NA,NA,1,1,1,1,0.508953105154093
"demersal_troll...8",1,NA,NA,NA,NA,1,NA,NA,1,"demersal_troll","weight",NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
"surface_troll...9",1,0,1,NA,NA,0,1,NA,0,"surface_troll","weight",NA,NA,1,NA,NA,NA,1,0,1,1,0
"surface_gillnet...10",0.459414907502816,0.443170022513828,0.989104923484739,0.0303314328814517,0.0303314328814517,0.439236419272526,1,0.945661193595844,1,"surface_gillnet","richness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hook_line...11",0,1,1,NA,NA,0.500203089721454,1,NA,NA,"hook_line","richness",1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"seine_net...12",0.74403244421419,0.383231538248827,0.195025714052548,0.562294669960135,0.991102116399679,0.377406782710477,0.929172892038797,0.0845480110465558,1,"seine_net","richness",NA,NA,NA,NA,0.00816172080458774,NA,NA,NA,NA,NA,NA
"demersal_gillnet...13",0.714978492652479,0.167585612030208,0.418955150819361,0,0.155046437342974,0.0837946319506745,0.425998411837665,0.245697317830859,0,"demersal_gillnet","richness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spear_fishing...14",0.543591418547347,0.123620686342321,0.907611346014326,NA,NA,0.123620686342321,1,NA,1,"spear_fishing","richness",0.123620686342321,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"demersal_line...15",1,0,1,NA,NA,0,1,NA,1,"demersal_line","richness",NA,NA,1,NA,NA,1,0,0,NA,NA,NA
"handline...16",1,0,1,NA,NA,1,0,NA,0,"handline","richness",NA,NA,1,NA,NA,NA,0,1,0,1,0
"demersal_troll...17",0.117330667126487,NA,NA,NA,NA,0.117330667126487,NA,NA,1,"demersal_troll","richness",NA,NA,0.216241507735968,NA,NA,NA,0.655059858698216,0.84229481496026,NA,NA,NA
"surface_troll...18",1,0,1,NA,NA,1,1,NA,0,"surface_troll","richness",NA,NA,1,NA,NA,NA,1,0,0,1,0
