"","species","circular_net mean","circular_net sd","surface_gillnet mean","surface_gillnet sd","demersal_gillnet mean","demersal_gillnet sd","seine_net mean","seine_net sd","hook_line mean","hook_line sd","hook_line_shore mean","hook_line_shore sd","spear_fishing mean","spear_fishing sd"
"1","Acanthuridae",0,0,0,0,0.00952380952380952,0.0686739922832306,0.00598802395209581,0.109435131032917,0.0282817852834741,0.551921669683944,0.0124197002141328,0.192498624591029,0.103514513375071,1.31136774584372
"2","Albulidae",0,0,0,0,0.019047619047619,0.137347984566461,0.0374251497005988,0.304432646282145,0.0131857659831122,0.183816513258613,0.00963597430406852,0.124357905499224,0.0099601593625498,0.417495854883161
"3","Anthiadidae",0,0,0,0,0,0,0,0,0.0123703256936068,0.297076055961619,0.000107066381156317,0.00231372406691374,0.000948586605957124,0.0397615099888725
"4","Balistidae",0.570909090909091,3.56218311696048,0.00223944875107666,0.0553529228057935,0.135238095238095,1.27135458894932,0.074251497005988,1.20621334732377,0.429442581423402,13.6756417526559,0.135203426124197,0.651004597853199,0.115791121229368,0.779925729444377
"5","Belonidae",0,0,0.515891472868217,1.30377750320631,0.04,0.372517423443831,8.33721556886228,41.3777951909754,0.0862249698431845,0.719735716887287,0.404668094218415,1.26397596641685,0.0126209447922595,0.1697007989692
"6","Berycidae",0,0,0,0,0,0,0,0,0.00386007237635706,0.229182478034208,0.0107066381156317,0.231372406691374,0.00298804780876494,0.0999624438275214
"7","Bothidae",0,0,0,0,0.404761904761905,1.44796813556505,0,0,0.0166260554885404,0.262294351428259,0,0,0.00180231455131854,0.0716788206550871
"8","Bythitidae",0,0,0,0,0,0,0,0,0.00596260554885404,0.13092153141877,0,0,0,0
"9","Carangidae",0.0101818181818182,0.130787822619136,0.92312661498708,4.93320789442777,5.05809523809524,9.55990003319536,14.1296407185629,38.8880898631427,13.0584958986731,21.2769452776524,1.92017130620985,4.27461776678761,0.944836610300469,4.16545735036587
"10","Centrolophidae",0,0,0,0,0,0,0,0,0.000313630880579011,0.0285559151403948,0,0,0,0
"11","Cirrhitidae",0,0,0,0,0,0,0,0,0.00476477683956574,0.173557092451071,0.017237687366167,0.141069920087305,0.000853727945361412,0.0357853589899852
"12","Coryphaenidae",0.824242424242424,3.01086247904175,0.00430663221360896,0.146741817720937,0,0,0,0,0.117711700844391,1.26734867875381,0.0179871520342612,0.370618633514824,0.0262284196547145,0.39988484350252
"13","Cyclopsettidae",0,0,0.000344530577088717,0.00829739197544068,0,0,0,0,0.0267189384800965,2.19922355361283,0,0,0,0
"14","Dactylopteridae",0,0,0.0145994832041344,0.427599392317245,0.0476190476190476,0.401462527730997,0.000898203592814371,0.0164152696549375,0.599739324487334,4.79409958696754,0.0356531049250535,0.695816554624016,0.0505463858850313,0.592690900145074
"15","Diodontidae",0,0,0,0,0,0,0,0,0.000120627261761158,0.00776571661437071,0,0,0.00113830392714855,0.0377146355052023
"16","Dorosomatidae",0,0,0,0,0,0,0.0107784431137725,0.166406983322425,0.00659831121833534,0.126226195873098,0.0203426124197002,0.222436494201867,0,0
"17","Drepaneidae",0,0,0,0,0.423809523809524,2.30048171416687,0.0137724550898204,0.183367291749221,0.0222858866103739,0.539383904165629,0,0,0.0136786188579017,0.345959732985934
"18","Elopidae",0,0,0,0,0,0,0,0,0.000361881785283474,0.0329491328543017,0,0,0,0
"19","Emmelichthyidae",0,0,0,0,0,0,0,0,0.0420989143546441,0.674545148096935,0,0,0,0
"20","Ephippidae",0,0,0,0,0.362857142857143,3.42528093016463,0,0,0.00708419782870929,0.244861640963002,0,0,0.000455321570859419,0.0136779720742476
"21","Epinephelidae",0,0,0.0142980189491817,0.272318672485019,0.00952380952380952,0.0975900072948533,0.759580838323353,8.16674284599832,0.242244873341375,1.59142712971526,0.500428265524625,5.22113974581983,0.182714380572946,1.06237170301232
"22","Exocoetidae",27.0233333333333,104.510345288673,58.0391749186492,332.551808397071,0,0,2.55665419943312,23.2013124915056,0.0155430964623128,0.900381415150494,0,0,0,0
"23","Fistulariidae",0,0,0.002885443583118,0.066064452359149,0,0,0,0,0.00256936067551267,0.0666261844313283,0.0135974304068522,0.142676412276145,0.0155805350028458,0.26421878214332
"24","Gempylidae",0,0,0.00172265288544358,0.0586967270883749,0,0,0,0,0.000542822677925211,0.0315436249855462,0,0,0,0
"25","Grammistidae",0,0,0.00172265288544358,0.0586967270883749,0.0323809523809524,0.237168893932329,0,0,0.0161300361881785,0.200930303410028,0,0,0.000284575981787137,0.00630732083635743
"26","Haemulidae",0,0,0,0,0.278571428571429,1.28195420877916,0.0122754491017964,0.174669749806729,0.00704463208685163,0.159900135277265,0.0262312633832976,0.182855081245345,0.0242269019161449,0.310668696271563
"27","Hemiramphidae",0,0,0,0,0.476190476190476,4.87950036474267,53.3178954515513,225.554900771144,0,0,0,0,0,0
"28","Holocentridae",0,0,0.0180361757105943,0.2874470303237,0.0533333333333333,0.354386432570074,0.149700598802395,1.9316511554538,0.285778829915561,2.51894702877209,0.0679871520342612,0.563621619800623,0.211064811050582,1.71677063637273
"29","Istiophoridae",4.24242424242424,20.9430562202204,0.172265288544358,2.00506835000256,0,0,0,0,0.393564535585042,4.84790954407336,0,0,0.0278410168848416,0.790801709168787
"30","Kyphosidae",0,0,0.000258397932816537,0.00880450906325624,0.496190476190476,1.86686305220218,0.772455089820359,6.48183106030799,0.00199034981905911,0.136841805467069,0.0906852248394004,0.525399869643655,0.171473154999051,0.986341138077505
