"trip","gear","nsets","start","end","time_fishing","light","bait","lines_length","hooks_width","size","catch_composition","database"
"PC_RI190806_1051_01_191225_000000","FIO-JOGADO",4,"08:03:00","10:03:00",2,NA,NA,2,"1","3","PEIXE-AZEITE","PC_191225_LD_000000"
"PC_RI190806_1051_01_191225_000000","OUTRA",NA,NA,NA,NA,NA,NA,2,NA,NA,"FULU-FULU","PC_191225_LD_000000"
"PC_RI190806_1241_02_191225_000000","TOCA",16,"06:00:00","08:40:00",2.666666667,"nao","Palha",2,"10","11","BONITO, FULU-FULU","PC_191225_LD_000000"
"PC_RI190806_1241_02_191225_000000","FIO-JOGADO",6,"07:30:00","10:00:00",2.5,NA,"Fulu fulu",2,NA,"4","PEIXE-AZEITE","PC_191225_LD_000000"
"PC_RI190809_1059_01_191225_000000","FIO-JOGADO",9,"06:12:00","08:12:00",2,NA,"Fulu fulu",1,"1","3","PEIXE-AZEITE, CORVINA-VERMELHA","PC_191225_LD_000000"
"PC_RI190809_1059_01_191225_000000","OUTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARGO","PC_191225_LD_000000"
"PC_RI190813_1226_01_191225_000000","FIO-JOGADO",6,"07:30:00","10:20:00",2.833333333,NA,"Fulu fulu",2,NA,"3","PEIXE-AZEITE","PC_191225_LD_000000"
"PC_RI190813_1226_01_191225_000000","OUTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASNO-FUNDO","PC_191225_LD_000000"
"PC_RI190820_1303_01_191225_000000","ARRASTAO",1,"04:00:00","05:12:00",1.2,NA,"Palha",1,"150","9","BONITO","PC_191225_LD_000000"
"PC_RI190820_1303_01_191225_000000","COSTUMADO",20,"07:09:00","11:10:00",4.016666667,"nao","Fulu fulu",2,"11","8","PEIXE-AZEITE","PC_191225_LD_000000"
"PC_RI190820_1327_02_191225_000000","COSTUMADO",12,"06:32:00","10:32:00",4,"nao","Fulu fulu",2,"12","11","PEIXE-AZEITE","PC_191225_LD_000000"
"PC_RI190820_1327_02_191225_000000","CORICO-DE-FIO-GROSSO",5,"07:34:00","09:34:00",2,NA,NA,1,"1","2","FULU-FULU","PC_191225_LD_000000"
"PC_RI190823_1428_01_191225_000000","CORICO-DE-FIO-GROSSO",2,"07:35:00","08:32:00",0.95,NA,"Fulu fulu",2,"1",NA,"ALADA","PC_191225_LD_000000"
"PC_AB190806_0542_01_191225_000000","TOCA",100,"23:00:00","04:30:00",5.5,"sim","Palha",2,"10","15","BONITO, CARAPAU","PC_191225_LD_000000"
"PC_RI190827_1147_01_191225_000000","TOCA",20,"05:54:00","09:55:00",4.016666667,"nao","Palha",2,"10","11","BONITO","PC_191225_LD_000000"
