"site_date","island","site","landing_site","ext_worker","date","worked_y.n","reason_not_fishing","other_reason","surface_gillnet","panha","purse_seine","surface_gillnet_seine","demersal_gillnet","beach_seine","spear_fishing","hook_line","hook_line_shore","deviceid","meta.instanceID","meta.instanceName","database","duplicates"
"PC_AB190806","PC","AB","abade","judiciley","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190806","PC","AN","agua-namoro","jailson","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190806","PC","BU","burras","herlanda","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190806","PC","CA","campanha","vitorino","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190806","PC","CO","concom","abilio","06/08/2019","pessoal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190806","PC","LA","lapa","nelo","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190806","PC","RI","ribeira-ize",NA,"06/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190806","PC","SA","santo-antonio","marlene","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190806","PC","SE","seca",NA,"06/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190806","PC","SJ","sao-joao","jose-gomes","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190806","PC","UN","unitel","sedeley","06/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190809","PC","AB","abade","judiciley","09/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AN190809","PC","AN","agua-namoro","jailson","09/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_BU190809","PC","BU","burras",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CA190809","PC","CA","campanha","vitorino","09/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_CO190809","PC","CO","concom",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_LA190809","PC","LA","lapa",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_RI190809","PC","RI","ribeira-ize","jose-gomes","09/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SA190809","PC","SA","santo-antonio",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SE190809","PC","SE","seca",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_SJ190809","PC","SJ","sao-joao",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_UN190809","PC","UN","unitel",NA,"09/08/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
"PC_AB190813","PC","AB","abade","judiciley","13/08/2019","sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PC_191225_NV_000000",1
