CODE.ST,CODE.PC,type,species,species_comp,species_comp_source,local_name_ST,local_name_PC
AGULHA-ESPADA,AGULHA-ESPADA,Teleost,Ablennes hians,Ablennes hians,"FGDs, KIIs, Field observations",Agulha espada,Agulha espada
TCHINTCHIN,TCHINTCHIN,Teleost,Abudefduf saxatilis,Abudefduf saxatilis,"FGDs, KIIs, Field observations","Tchintchin, Thinthe",Tchintchin
PEIXE-FUMO,PEIXE-FUMO,Teleost,Acanthocybium solandri,Acanthocybium solandri,"FGDs, KIIs, Field observations",Peixe fumo,Peixe fumo
ASNO-LAMINA,ASNO-LACETA,Teleost,Acanthurus monroviae,Acanthurus monroviae,"FGDs, KIIs, Field observations",Asno laceta,Asno lamina
COLUMPIAM-BALABO,COLUMPIAM-BALABO,Teleost,Albula vulpes,Albula vulpes,"FGDs, KIIs, Field observations",Columpiam balabo,Columpiam balabo
PAMPULE,PEIXE-PRATA,Teleost,Alectis alexandrina,Alectis alexandrina,"FGDs, KIIs, Field observations",Pampulé,Peixe prata
ASNO-LEMBE-LEMBE,ASNO-PERGUICOSA,Teleost,Aluterus scriptus,Aluterus scriptus,"FGDs, KIIs, Field observations",Asno lembe-lembe,Asno preguiçosa
CAPITAO,CAPITAO,Teleost,Anthias anthias,Anthias anthias,"FGDs, KIIs, Field observations",Capitão,Capitão
PEIXE-NOVO,PEIXE-NOVO,Teleost,Apsilus fuscus,Apsilus fuscus,"FGDs, KIIs, Field observations",Peixe novo,Peixe novo
FULU-FULU-REBOLA,FULU-FULU-REBOLA,Teleost,Auxis thazard,Auxis thazard,"FGDs, KIIs, Field observations",Fulu-fulu rebola,Fulu-fulu rebola
FULU-FULU,FULU-FULU,Teleost,Auxis thazard + Euthynnus alletteratus,"Auxis thazard, Euthynnus alletteratus","FGDs, KIIs, Field observations",Fulu fulu,Fulu fulu
ASNO-FUNDO,ASNO-FUNDO,Teleost,Balistes capriscus,Balistes capriscus,"FGDs, KIIs, Field observations",Asno fundo,Asno fundo
ASNO-TERRA,ASNO-GALINHA,Teleost,Balistes punctatus,Balistes punctatus,"FGDs, KIIs, Field observations",Asno terra,Asno galinha
UE-NGUENE-NGUENE,OLHO-BRILHANTE,Teleost,Beryx decadactylus,Beryx decadactylus,"FGDs, KIIs, Field observations","Ue-Nguene nguene, Olho lente","Olho brilhante, Olho lente"
BULHAO-BICA,BULHAO,Teleost,Bodianus speciosus,Bodianus speciosus,"FGDs, KIIs, Field observations",Bulhão bica,Bulhão
BONGA,BONGA,Teleost,Boops boops,Boops boops,"FGDs, KIIs, Field observations",Bonga,Bonga
